Block,blockMsg,thisN,thisTrialN,thisRepN,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Color,Orientation,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,BlockStart.started,BlockStart_Msg.started,key_resp_2.started,BlockStart.stopped,Blocks.key_resp_2.keys,Blocks.key_resp_2.rt,Blocks.key_resp_2.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,BlockEnd.started,BlockEnd_Msg.started,key_resp_3.started,BlockEnd.stopped,Blocks.key_resp_3.keys,Blocks.key_resp_3.rt,Blocks.key_resp_3.duration,TaskEnd.started,ThankYou.started,key_resp_4.started,TaskEnd.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031201599980704486,0.07845550001366064,0.07845550001366064,8.104371399967931,space,8.02016429998912,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,0,0,0,Go,Go,0.13,0.05,0.2,space,blue,horizontal,space,2.726087200047914,None,space,1,0.34350120002636686,None,,,,0,0,0,0,0,0,0,0,10.907177500019316,,,,,,,,,8.113811900024302,8.116836500004865,8.116836500004865,10.848949800012633,space,2.726087200047914,None,10.904018700006418,10.907177500019316,11.564111399988178,11.613959699985571,12.063696299970616,12.047781299974304,12.048494799993932,12.063696299970616,12.196953399979975,12.380264099978376,12.380264099978376,12.730892499967013,space,1,0.34350120002636686,None,12.74169830000028,13.245981800020672,14.24520309997024,14.22942809999222,,,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,1,1,0,NoGo,NoGo,0.43,0.05,0.2,none,blue,horizontal,space,2.726087200047914,None,None,1,,,,,,0,0,0,0,0,1,1,1,14.24520309997024,,,,,,,,,,,,,,,,14.229791799967643,14.24520309997024,14.944550000014715,14.944550000014715,15.444285799982026,15.428208599973004,15.428819599968847,15.444285799982026,15.877127700019628,16.060438700020313,16.060438700020313,16.544106399989687,None,1,,,16.54699519998394,17.059708299988415,18.058694800012745,18.042739299999084,16.55989520001458,16.55989520001458,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,2,2,0,Go,Go,0.12,0.2,0.05,space,blue,vertical,space,2.726087200047914,None,space,1,0.34054209996247664,None,,,,0,0,0,0,0,2,2,2,18.058694800012745,,,,,,,,,,,,,,,,18.042979100020602,18.058694800012745,18.75825289997738,18.75825289997738,19.25775440002326,19.24206060002325,19.242973699991126,19.25775440002326,19.390983999997843,19.574087999993935,19.574087999993935,19.925153199990746,space,1,0.34054209996247664,None,19.93027389998315,20.44013730000006,21.439358000003267,21.423381400003564,,,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,3,3,0,NoGo,NoGo,0.18,0.2,0.05,none,green,vertical,space,2.726087200047914,None,None,1,,,,,,0,0,0,0,0,3,3,3,21.439358000003267,,,,,,,,,,,,,,,,21.42377920000581,21.439358000003267,22.138767700002063,22.138767700002063,22.638344599981792,22.62238149996847,22.623265000001993,22.638344599981792,22.82198900001822,23.004701900004875,23.004701900004875,23.48819389997516,None,1,,,23.49073129997123,23.987074700009543,24.986278600001242,24.97042309999233,23.50429880002048,23.50429880002048,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,4,4,0,Go,Go,0.24,0.05,0.2,space,green,horizontal,space,2.726087200047914,None,space,1,0.28787300002295524,None,,,,0,0,0,0,0,4,4,4,24.986278600001242,,,,,,,,,,,,,,,,24.970701300015207,25.003024799982086,25.70248109998647,25.70248109998647,26.201856300001964,26.186232000007294,26.18694460002007,26.201856300001964,26.452054900000803,26.63489169999957,26.63489169999957,26.936167299980298,space,1,0.28787300002295524,None,26.942587499972433,27.45088790002046,28.44991670001764,28.434198100003414,,,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,5,5,0,Go,Go,0.21,0.05,0.2,space,blue,horizontal,space,2.726087200047914,None,space,1,0.2834341999841854,None,,,,0,0,0,0,0,5,5,5,28.44991670001764,,,,,,,,,,,,,,,,28.434495599998627,28.44991670001764,29.149555300013162,29.149555300013162,29.649095300002955,29.63314829999581,29.63365640002303,29.649095300002955,29.86582740000449,30.048906599986367,30.048906599986367,30.334322799986694,space,1,0.2834341999841854,None,30.33761330001289,30.848223400011193,31.84755900001619,31.832126299967058,,,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,6,6,0,Go,Go,0.11,0.2,0.05,space,blue,vertical,space,2.726087200047914,None,space,1,0.3523215999593958,None,,,,0,0,0,0,0,6,6,6,31.84755900001619,,,,,,,,,,,,,,,,31.83257309999317,31.84755900001619,32.54676060000202,32.54676060000202,33.046415099990554,33.03056350001134,33.03124859998934,33.046415099990554,33.1630307000014,33.346402499999385,33.346402499999385,33.71366820001276,space,1,0.3523215999593958,None,33.71933410002384,34.21224149997579,35.211396700004116,35.195246000017505,,,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,7,7,0,Go,Go,0.15,0.2,0.05,space,blue,vertical,space,2.726087200047914,None,space,1,0.2420189999975264,None,,,,0,0,0,0,0,7,7,7,35.211396700004116,,,,,,,,,,,,,,,,35.19551069999579,35.22825799998827,35.92765039997175,35.92765039997175,36.427102599991485,36.41102699999465,36.41150950000156,36.427102599991485,36.57687879999867,36.77676809998229,36.77676809998229,37.02746279997518,space,1,0.2420189999975264,None,37.03036340000108,37.54277090000687,38.54181660001632,38.52616800001124,,,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,8,8,0,NoGo,NoGo,0.3,0.05,0.2,none,blue,horizontal,space,2.726087200047914,None,space,0,0.2581985999713652,None,,,,0,0,0,0,0,8,8,8,38.54181660001632,,,,,,,,,,,,,,,,38.52642609999748,38.54181660001632,39.24145749997115,39.24145749997115,39.74102159996983,39.725228299968876,39.7259056000039,39.74102159996983,40.0408401999739,40.24056980002206,40.24056980002206,40.508058100007474,space,0,0.2581985999713652,None,40.515239399974234,41.0232181000174,42.02222280000569,42.006551300000865,,,,,,,,,,,,,,,,,005,001,2025-04-27_19h59.44.535,Cued GoNogo Task,2024.2.4,59.98764254232577,2025-04-27 19h59.54.864020 +0200,
