Block,blockMsg,thisN,thisTrialN,thisRepN,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Color,Orientation,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,BlockStart.started,BlockStart_Msg.started,key_resp_2.started,BlockStart.stopped,Blocks.key_resp_2.keys,Blocks.key_resp_2.rt,Blocks.key_resp_2.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,BlockEnd.started,BlockEnd_Msg.started,key_resp_3.started,BlockEnd.stopped,Blocks.key_resp_3.keys,Blocks.key_resp_3.rt,Blocks.key_resp_3.duration,TaskEnd.started,ThankYou.started,key_resp_4.started,TaskEnd.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0015774000203236938,0.0038530000019818544,0.0038530000019818544,24.55178550002165,space,24.54083230008837,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,0,0,0,Go,Go,0.13,0.05,0.2,space,blue,horizontal,space,1.2357567000435665,None,space,1,0.29624410008545965,None,,,,0,0,0,0,0,0,0,0,25.8742730000522,,,,,,,,,24.561658000107855,24.5643812000053,24.5643812000053,25.813660600106232,space,1.2357567000435665,None,25.87097020004876,25.8742730000522,26.52836070000194,26.578305900096893,27.027762700105086,27.012321900110692,27.013326700078323,27.027762700105086,27.161130900029093,27.34418460004963,27.34418460004963,27.645623100106604,space,1,0.29624410008545965,None,27.656629600096494,28.160168300033547,29.159524000016972,29.14372670010198,,,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,1,1,0,NoGo,NoGo,0.43,0.05,0.2,none,blue,horizontal,space,1.2357567000435665,None,None,1,,,,,,0,0,0,0,0,1,1,1,29.159524000016972,,,,,,,,,,,,,,,,29.14406500000041,29.159524000016972,29.858762700110674,29.858762700110674,30.358295500045642,30.34243860002607,30.343055400066078,30.358295500045642,30.791377800051123,30.991378400009125,30.991378400009125,31.47486190008931,None,1,,,31.477254300029017,31.99028220004402,32.98957470001187,32.97348850010894,31.490771100041457,31.490771100041457,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,2,2,0,Go,Go,0.12,0.2,0.05,space,blue,vertical,space,1.2357567000435665,None,space,1,0.3031324000330642,None,,,,0,0,0,0,0,2,2,2,32.98957470001187,,,,,,,,,,,,,,,,32.973720900015905,32.98957470001187,33.68899789999705,33.68899789999705,34.18865370005369,34.172631000052206,34.17326100007631,34.18865370005369,34.32181620004121,34.505039900075644,34.505039900075644,34.822370500070974,space,1,0.3031324000330642,None,34.827258600038476,35.337855600053445,36.33686420007143,36.321494800038636,,,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,3,3,0,NoGo,NoGo,0.18,0.2,0.05,none,green,vertical,space,1.2357567000435665,None,None,1,,,,,,0,0,0,0,0,3,3,3,36.33686420007143,,,,,,,,,,,,,,,,36.32193490001373,36.33686420007143,37.03610230004415,37.03610230004415,37.53583280008752,37.51955960004125,37.52005900000222,37.53583280008752,37.71914749999996,37.90211910009384,37.90211910009384,38.38619710004423,None,1,,,38.39010420010891,38.90135990001727,39.900535300024785,39.88457120000385,38.40182760008611,38.40182760008611,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,4,4,0,Go,Go,0.24,0.05,0.2,space,green,horizontal,space,1.2357567000435665,None,space,1,0.41257300006691366,None,,,,0,0,0,0,0,4,4,4,39.900535300024785,,,,,,,,,,,,,,,,39.88484340009745,39.900535300024785,40.599996100063436,40.599996100063436,41.09968970005866,41.083330500056036,41.08382850000635,41.09968970005866,41.349269500002265,41.53247140010353,41.53247140010353,41.95001340005547,space,1,0.41257300006691366,None,41.955145700019784,42.46506290009711,43.46434100007173,43.4487683000043,,,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,5,5,0,Go,Go,0.21,0.05,0.2,space,blue,horizontal,space,1.2357567000435665,None,space,1,0.30512220005039126,None,,,,0,0,0,0,0,5,5,5,43.46434100007173,,,,,,,,,,,,,,,,43.44913630001247,43.46434100007173,44.16368780005723,44.16368780005723,44.66339850006625,44.647042000084184,44.64757470006589,44.66339850006625,44.879802600014955,45.06291160010733,45.06291160010733,45.38043000001926,space,1,0.30512220005039126,None,45.38546280004084,45.89568140008487,46.89470440009609,46.879179100040346,,,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,6,6,0,Go,Go,0.11,0.2,0.05,space,blue,vertical,space,1.2357567000435665,None,space,1,0.3175176000222564,None,,,,0,0,0,0,0,6,6,6,46.89470440009609,,,,,,,,,,,,,,,,46.87954900006298,46.89470440009609,47.59415140002966,47.59415140002966,48.093817300046794,48.07789050007705,48.07854410004802,48.093817300046794,48.21036310005002,48.3935740001034,48.3935740001034,48.72802430007141,space,1,0.3175176000222564,None,48.73288300004788,49.24293100007344,50.24202870007139,50.226304000010714,,,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,7,7,0,Go,Go,0.15,0.2,0.05,space,blue,vertical,space,1.2357567000435665,None,space,1,0.2898259999928996,None,,,,0,0,0,0,0,7,7,7,50.24202870007139,,,,,,,,,,,,,,,,50.22662309999578,50.24202870007139,50.94156610011123,50.94156610011123,51.44117650005501,51.425232500070706,51.42593460006174,51.44117650005501,51.590851000044495,51.79079430003185,51.79079430003185,52.092091700062156,space,1,0.2898259999928996,None,52.097415700089186,52.60668940003961,,53.60598500003107,,,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,8,8,0,NoGo,NoGo,0.3,0.05,0.2,none,blue,horizontal,space,1.2357567000435665,None,None,1,,,,,,0,0,0,0,0,8,8,8,53.622457200079225,,,,,,,,,,,,,,,,53.606207200093195,53.622457200079225,54.30547770007979,54.322045400040224,54.80482870002743,54.78917460003868,54.78981100011151,54.80482870002743,55.104701500036754,55.30436480010394,55.30436480010394,55.787959000095725,None,1,,,55.79010380001273,56.28720400005113,57.28636110003572,57.27016140008345,55.80410720000509,55.80410720000509,,,,,,,,,,,,,,,010,001,2025-05-02_22h03.19.559,Cued GoNogo Task,2024.2.4,60.01954233012083,2025-05-02 22h03.27.515659 +0200,
