Block,blockMsg,thisN,thisTrialN,thisRepN,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Color,Orientation,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,BlockStart.started,BlockStart_Msg.started,key_resp_2.started,BlockStart.stopped,Blocks.key_resp_2.keys,Blocks.key_resp_2.rt,Blocks.key_resp_2.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,BlockEnd.started,BlockEnd_Msg.started,key_resp_3.started,BlockEnd.stopped,Blocks.key_resp_3.keys,Blocks.key_resp_3.rt,Blocks.key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02628540003206581,0.09253479994367808,0.09253479994367808,6.919768000021577,space,6.769514799932949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,0,0,0,Go,Go,0.13,0.05,0.2,space,blue,horizontal,space,0.8030384000157937,None,space,1,0.29558739997446537,None,,,,0,0,0,0,0,0,0,0,7.817101599997841,,,,,,,,,6.928571099997498,6.931144000031054,6.931144000031054,7.747797599993646,space,0.8030384000157937,None,7.814444900024682,7.817101599997841,8.462799199973233,8.529433600022458,8.96242210001219,8.946502299979329,8.947113399975933,8.96242210001219,9.095637399936095,9.278909899992868,9.278909899992868,9.579732400015928,space,1,0.29558739997446537,None,9.589953599963337,10.094819699996151,11.094092299928889,11.078498299932107,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,1,1,0,NoGo,NoGo,0.43,0.05,0.2,none,blue,horizontal,space,0.8030384000157937,None,space,0,0.32051180000416934,None,,,,0,0,0,0,0,1,1,1,11.094092299928889,,,,,,,,,,,,,,,,11.078850599937141,11.094092299928889,11.79351550003048,11.79351550003048,12.293027200037614,12.277607799973339,12.278529700008221,12.293027200037614,12.726036099949852,12.909145699930377,12.909145699930377,13.24345029995311,space,0,0.32051180000416934,None,13.250885999994352,13.758459100034088,14.757626399979927,14.741796499933116,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,2,2,0,Go,Go,0.12,0.2,0.05,space,blue,vertical,space,0.8030384000157937,None,space,1,0.3331454999279231,None,,,,0,0,0,0,0,2,2,2,14.757626399979927,,,,,,,,,,,,,,,,14.742202800000086,14.757626399979927,15.457678199978545,15.457678199978545,15.956667999969795,15.940886999946088,15.94160230003763,15.956667999969795,16.08979520003777,16.273015999933705,16.273015999933705,16.608215400017798,space,1,0.3331454999279231,None,16.612303899950348,17.12226820003707,18.12145849992521,18.105643499991857,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,3,3,0,NoGo,NoGo,0.18,0.2,0.05,none,green,vertical,space,0.8030384000157937,None,None,1,,,,,,0,0,0,0,0,3,3,3,18.12145849992521,,,,,,,,,,,,,,,,18.105900299968198,18.12145849992521,18.82092399999965,18.82092399999965,19.320315400022082,19.304767500027083,19.30549479997717,19.320315400022082,19.503608600003645,19.703456799965352,19.703456799965352,20.187422499991953,None,1,,,20.190128699992783,20.70286149997264,21.70186329993885,21.686184899997897,20.20309179998003,20.20309179998003,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,4,4,0,Go,Go,0.24,0.05,0.2,space,green,horizontal,space,0.8030384000157937,None,space,1,0.3515655000228435,None,,,,0,0,0,0,0,4,4,4,21.70186329993885,,,,,,,,,,,,,,,,21.68638570001349,21.70186329993885,22.40142879995983,22.40142879995983,22.90080569998827,22.885106200003065,22.885650099953637,22.90080569998827,23.150800099945627,23.333966800011694,23.333966800011694,23.701569900033064,space,1,0.3515655000228435,None,23.706571099930443,24.21674029994756,,25.2159673999995,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,5,5,0,Go,Go,0.21,0.05,0.2,space,blue,horizontal,space,0.8030384000157937,None,space,1,0.36833309999201447,None,,,,0,0,0,0,0,5,5,5,25.232245599967428,,,,,,,,,,,,,,,,25.21624029998202,25.232245599967428,25.91525239998009,25.931889200001024,26.414806899963878,26.398783199954778,26.399566799984314,26.414806899963878,26.63117309997324,26.814405499957502,26.814405499957502,27.198683799942955,space,1,0.36833309999201447,None,27.204130699974485,27.71382269996684,,28.71292600000743,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,6,6,0,Go,Go,0.11,0.2,0.05,space,blue,vertical,space,0.8030384000157937,None,space,1,0.3225993999512866,None,,,,0,0,0,0,0,6,6,6,28.729271800024435,,,,,,,,,,,,,,,,28.71314240002539,28.729271800024435,29.412360799964517,29.42905479995534,29.911857199971564,29.896294299978763,29.897083299933,29.911857199971564,30.028464199975133,30.211763700004667,30.211763700004667,30.5463291000342,space,1,0.3225993999512866,None,30.55069399997592,31.060962299932726,32.06030579993967,32.04421730001923,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,7,7,0,Go,Go,0.15,0.2,0.05,space,blue,vertical,space,0.8030384000157937,None,space,1,0.324722999939695,None,,,,0,0,0,0,0,7,7,7,32.06030579993967,,,,,,,,,,,,,,,,32.04450509999879,32.06030579993967,32.7595029999502,32.7595029999502,33.259072799934074,33.242989099933766,33.24351019994356,33.259072799934074,33.40907069994137,33.608973799971864,33.608973799971864,33.942897900007665,space,1,0.324722999939695,None,33.947634599986486,34.458058499963954,35.45744189992547,35.44154140003957,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,8,8,0,NoGo,NoGo,0.3,0.05,0.2,none,blue,horizontal,space,0.8030384000157937,None,space,0,0.2902266000164673,None,,,,0,0,0,0,0,8,8,8,35.45744189992547,,,,,,,,,,,,,,,,35.44182189996354,35.45744189992547,36.15662030002568,36.15662030002568,36.65643540001474,36.640695399953984,36.64146159996744,36.65643540001474,36.9561463999562,37.1559283999959,37.1559283999959,37.45681250002235,space,0,0.2902266000164673,None,37.46127309999429,37.971922699944116,38.97093930002302,38.95519140001852,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,9,9,0,NoGo,NoGo,0.17,0.05,0.2,none,blue,horizontal,space,0.8030384000157937,None,None,1,,,,,,0,0,0,0,0,9,9,9,38.97093930002302,,,,,,,,,,,,,,,,38.955478199990466,38.97093930002302,39.6705454000039,39.6705454000039,40.16992389992811,40.15406430000439,40.15460070001427,40.16992389992811,40.354187199962325,40.53631260001566,40.53631260001566,41.0207751999842,None,1,,,41.0236617999617,41.53553869994357,42.534772499930114,42.51913709996734,41.03598990000319,41.03598990000319,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,10,10,0,NoGo,NoGo,0.26,0.2,0.05,none,green,vertical,space,0.8030384000157937,None,None,1,,,,,,0,0,0,0,0,10,10,10,42.534772499930114,,,,,,,,,,,,,,,,42.519476099987514,42.534772499930114,43.234236899996176,43.234236899996176,43.73392879997846,43.71783219999634,43.718577999970876,43.73392879997846,44.00034569995478,44.183352799969725,44.183352799969725,44.66741929994896,None,1,,,44.66807599994354,45.18260860000737,46.18199089996051,46.165981599944644,44.68301679997239,44.68301679997239,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,11,11,0,Go,Go,0.27,0.05,0.2,space,green,horizontal,space,0.8030384000157937,None,space,1,0.4236835000338033,None,,,,0,0,0,0,0,11,11,11,46.18199089996051,,,,,,,,,,,,,,,,46.166320199961774,46.18199089996051,46.88131740002427,46.88131740002427,47.38078669994138,47.364644299959764,47.36502070003189,47.38078669994138,47.663961899932474,47.84709679998923,47.84709679998923,48.28160149999894,space,1,0.4236835000338033,None,48.2861975999549,48.796186799998395,49.79540379997343,49.77983719995245,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,12,12,0,Go,Go,0.16,0.2,0.05,space,green,vertical,space,0.8030384000157937,None,space,1,0.3670768999727443,None,,,,0,0,0,0,0,12,12,12,49.79540379997343,,,,,,,,,,,,,,,,49.78032180003356,49.79540379997343,50.494852200034074,50.494852200034074,50.994417599984445,50.97861859994009,50.97926179994829,50.994417599984445,51.1610340999905,51.34408940002322,51.34408940002322,51.71380179992411,space,1,0.3670768999727443,None,51.720476799993776,52.22676240000874,53.226055999984965,53.210354599985294,,,,,,,,,,000,002,2025-05-03_15h55.21.560,Cued GoNogo Task,2024.2.4,60.01205041367239,2025-05-03 15h55.36.068443 +0200,
