Block,blockMsg,thisN,thisTrialN,thisRepN,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Color,Orientation,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,BlockStart.started,BlockStart_Msg.started,key_resp_2.started,BlockStart.stopped,Blocks.key_resp_2.keys,Blocks.key_resp_2.rt,Blocks.key_resp_2.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,BlockEnd.started,BlockEnd_Msg.started,key_resp_3.started,BlockEnd.stopped,Blocks.key_resp_3.keys,Blocks.key_resp_3.rt,Blocks.key_resp_3.duration,TaskEnd.started,ThankYou.started,key_resp_4.started,TaskEnd.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016878999886102974,0.00433219998376444,0.00433219998376444,37.164107499993406,space,37.15803120000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,0,0,0,Go,Go,0.13,0.05,0.2,space,blue,horizontal,space,3.6961850999796297,None,space,1,0.4130977000168059,None,,,,0,0,0,0,0,0,0,0,40.96913699997822,,,,,,,,,37.1761550999945,37.1792637000035,37.1792637000035,40.880771500000264,space,3.6961850999796297,None,40.96655679997639,40.96913699997822,41.59630489998381,41.679542600002605,42.096381899988046,42.08026779998909,42.08125369998743,42.096381899988046,42.229779899993446,42.41308619998745,42.41308619998745,42.8311375999765,space,1,0.4130977000168059,None,42.84226689999923,43.34620420000283,44.34630069998093,44.33053499998641,,,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,1,1,0,NoGo,NoGo,0.43,0.05,0.2,none,blue,horizontal,space,3.6961850999796297,None,None,1,,,,,,0,0,0,0,0,1,1,1,44.34630069998093,,,,,,,,,,,,,,,,44.330830899998546,44.34630069998093,45.046261099982075,45.046261099982075,45.54625029998715,45.53023479998228,45.53096989999176,45.54625029998715,45.97957889997633,46.16305289999582,46.16305289999582,46.64684999999008,None,1,,,46.64957469998626,47.14605579999625,48.14632869997877,48.130531499977224,46.66276039998047,46.66276039998047,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,2,2,0,Go,Go,0.12,0.2,0.05,space,blue,vertical,space,3.6961850999796297,None,space,1,0.37824589997762814,None,,,,0,0,0,0,0,2,2,2,48.14632869997877,,,,,,,,,,,,,,,,48.1309030999837,48.14632869997877,48.846268399996916,48.846268399996916,49.346103799995035,49.33025359999738,49.330987900000764,49.346103799995035,49.47963950000121,49.67947390000336,49.67947390000336,50.06409669999266,space,1,0.37824589997762814,None,50.068809099990176,50.56311149999965,51.56311149999965,51.54736229998525,,,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,3,3,0,NoGo,NoGo,0.18,0.2,0.05,none,green,vertical,space,3.6961850999796297,None,None,1,,,,,,0,0,0,0,0,3,3,3,51.56311149999965,,,,,,,,,,,,,,,,51.547830700001214,51.579569399997126,52.2796903999988,52.2796903999988,52.77959339998779,52.763442499999655,52.76388240000233,52.77959339998779,52.96286329999566,53.146170599997276,53.146170599997276,53.630168999981834,None,1,,,53.63258019997738,54.12947399998666,55.12963479998871,55.113914699992165,53.646402599988505,53.646402599988505,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,4,4,0,Go,Go,0.24,0.05,0.2,space,green,horizontal,space,3.6961850999796297,None,space,1,0.3030247999995481,None,,,,0,0,0,0,0,4,4,4,55.12963479998871,,,,,,,,,,,,,,,,55.11430169999949,55.12963479998871,55.829560599988326,55.829560599988326,56.32976689998759,56.314038499986054,56.31502690000343,56.32976689998759,56.57955589998164,56.77975669997977,56.77975669997977,57.09791349997977,space,1,0.3030247999995481,None,57.10360760000185,57.612785999983316,58.61293019997538,58.59664909998537,,,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,5,5,0,Go,Go,0.21,0.05,0.2,space,blue,horizontal,space,3.6961850999796297,None,space,1,0.26188139998703264,None,,,,0,0,0,0,0,5,5,5,58.61293019997538,,,,,,,,,,,,,,,,58.59681039999123,58.61293019997538,59.31284629998845,59.31284629998845,59.81295599997975,59.79705689998809,59.79778510000324,59.81295599997975,60.02965989999939,60.213004499993986,60.213004499993986,60.48078209999949,space,1,0.26188139998703264,None,60.48668760000146,60.9963208999834,61.996267699985765,61.98029899998801,,,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,6,6,0,Go,Go,0.11,0.2,0.05,space,blue,vertical,space,3.6961850999796297,None,space,1,0.1301425000128802,None,,,,0,0,0,0,0,6,6,6,61.996267699985765,,,,,,,,,,,,,,,,61.980569299979834,61.996267699985765,62.696300399984466,62.696300399984466,63.19625290000113,63.18029540000134,63.18086019999464,63.19625290000113,63.31287509997492,63.49642799998401,63.49642799998401,63.630879299977096,space,1,0.1301425000128802,None,63.6344667999947,64.14619499997934,65.14621690000058,65.13043639998068,,,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,7,7,0,Go,Go,0.15,0.2,0.05,space,blue,vertical,space,3.6961850999796297,None,space,1,0.1624110999982804,None,,,,0,0,0,0,0,7,7,7,65.14621690000058,,,,,,,,,,,,,,,,65.13084070000332,65.14621690000058,65.84625010000309,65.84625010000309,66.34629409998888,66.33051259999047,66.33132149997982,66.34629409998888,66.49628309998661,66.69633690000046,66.69633690000046,66.86425969999982,space,1,0.1624110999982804,None,66.8681990999903,67.37963149999268,68.37965580000309,68.36414900000091,,,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,8,8,0,NoGo,NoGo,0.3,0.05,0.2,none,blue,horizontal,space,3.6961850999796297,None,None,1,,,,,,0,0,0,0,0,8,8,8,68.37965580000309,,,,,,,,,,,,,,,,68.36455709999427,68.37965580000309,69.07953769998858,69.07953769998858,69.5796074999962,69.56378850000328,69.5645485999994,69.5796074999962,69.87963589999708,70.0796612999984,70.0796612999984,70.56348879999132,None,1,,,70.56554359997972,71.06288879999192,72.06286179999006,72.04674259998137,70.57979779999005,70.57979779999005,,,,,,,,,,,,,,,003b,001,2025-04-26_18h29.09.565,Cued GoNogo Task,2024.2.4,60.01547198771554,2025-04-26 18h29.16.458088 +0200,
