Block,blockMsg,thisN,thisTrialN,thisRepN,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Color,Orientation,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,BlockStart.started,BlockStart_Msg.started,key_resp_2.started,BlockStart.stopped,Blocks.key_resp_2.keys,Blocks.key_resp_2.rt,Blocks.key_resp_2.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,BlockEnd.started,BlockEnd_Msg.started,key_resp_3.started,BlockEnd.stopped,Blocks.key_resp_3.keys,Blocks.key_resp_3.rt,Blocks.key_resp_3.duration,TaskEnd.started,ThankYou.started,key_resp_4.started,TaskEnd.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019309999188408256,0.005057199974544346,0.005057199974544346,11.819021299947053,space,11.742647100007161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,0,0,0,Go,Go,0.13,0.05,0.2,space,blue,horizontal,space,1.0359609000151977,None,space,1,0.27606880001258105,None,,,,0,0,0,0,0,0,0,0,12.94951950001996,,,,,,,,,11.828174100024626,11.83071170002222,11.83071170002222,12.876516200019978,space,1.0359609000151977,None,12.946828400017694,12.94951950001996,13.591551200021058,13.658004599972628,14.091011799988337,14.075197099940851,14.075900799944066,14.091011799988337,14.224249099963345,14.407422399963252,14.407422399963252,14.692013500025496,space,1,0.27606880001258105,None,14.70564259996172,15.20685489999596,16.205998999997973,16.190153499948792,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,1,1,0,NoGo,NoGo,0.43,0.05,0.2,none,blue,horizontal,space,1.0359609000151977,None,space,0,0.2376961000263691,None,,,,0,0,0,0,0,1,1,1,16.205998999997973,,,,,,,,,,,,,,,,16.190474699949846,16.205998999997973,16.90530260000378,16.90530260000378,17.40484979993198,17.389067200012505,17.38965239992831,17.40484979993198,17.837860699975863,18.021124699967913,18.021124699967913,18.272554100025445,space,0,0.2376961000263691,None,18.291610899963416,18.787278599920683,19.786340599996038,19.77055679995101,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,2,2,0,Go,Go,0.12,0.2,0.05,space,blue,vertical,space,1.0359609000151977,None,space,1,0.3813627000199631,None,,,,0,0,0,0,0,2,2,2,19.786340599996038,,,,,,,,,,,,,,,,19.770874699926935,19.786340599996038,20.485702399979346,20.485702399979346,20.98550880001858,20.9695579999825,20.97059739998076,20.98550880001858,21.118615199928172,21.301795799983665,21.301795799983665,21.686010399949737,space,1,0.3813627000199631,None,21.691140600014478,22.201078500016592,23.20048419991508,23.184220799943432,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,3,3,0,NoGo,NoGo,0.18,0.2,0.05,none,green,vertical,space,1.0359609000151977,None,space,0,0.253413200029172,None,,,,0,0,0,0,0,3,3,3,23.20048419991508,,,,,,,,,,,,,,,,23.184488600003533,23.20048419991508,23.8993565000128,23.8993565000128,24.399218300008215,24.38351529999636,24.38429959991481,24.399218300008215,24.582432199968025,24.765582200023346,24.765582200023346,25.033019099966623,space,0,0.253413200029172,None,25.039877999923192,25.54829039995093,26.547446099924855,26.53165859996807,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,4,4,0,Go,Go,0.24,0.05,0.2,space,green,horizontal,space,1.0359609000151977,None,space,1,0.23996230005286634,None,,,,0,0,0,0,0,4,4,4,26.547446099924855,,,,,,,,,,,,,,,,26.531930599943735,26.547446099924855,27.246933799935505,27.246933799935505,27.746536999940872,27.730390499928035,27.730896799941547,27.746536999940872,27.996305999928154,28.17951589997392,28.17951589997392,28.43002929992508,space,1,0.23996230005286634,None,28.434392899973318,28.945467100013047,29.944665599963628,29.928509299992584,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,5,5,0,Go,Go,0.21,0.05,0.2,space,blue,horizontal,space,1.0359609000151977,None,space,1,0.24377159995492548,None,,,,0,0,0,0,0,5,5,5,29.944665599963628,,,,,,,,,,,,,,,,29.92875299998559,29.944665599963628,30.64405529992655,30.64405529992655,31.143607200006954,31.127722300007008,31.128585599944927,31.143607200006954,31.36028639995493,31.5433800999308,31.5433800999308,31.794925599941052,space,1,0.24377159995492548,None,31.800589799997397,32.309459100011736,33.3085468999343,33.292783999932,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,6,6,0,Go,Go,0.11,0.2,0.05,space,blue,vertical,space,1.0359609000151977,None,space,1,0.3163004000671208,None,,,,0,0,0,0,0,6,6,6,33.3085468999343,,,,,,,,,,,,,,,,33.29313609993551,33.3085468999343,34.00803799997084,34.00803799997084,34.50755079998635,34.49142390000634,34.49192449997645,34.50755079998635,34.6240483999718,34.807336000027135,34.807336000027135,35.12542990001384,space,1,0.3163004000671208,None,35.12834109994583,35.64018699992448,,36.639303599949926,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,7,7,0,Go,Go,0.15,0.2,0.05,space,blue,vertical,space,1.0359609000151977,None,space,1,0.2555555000435561,None,,,,0,0,0,0,0,7,7,7,36.65576170000713,,,,,,,,,,,,,,,,36.63962559995707,36.65576170000713,37.33872190001421,37.355454699951224,37.83808469993528,37.822250599972904,37.82287969999015,37.83808469993528,37.988019399927,38.18776929995511,38.18776929995511,38.455397599958815,space,1,0.2555555000435561,None,38.46104859991465,38.970529999933206,39.9695848999545,39.95361440000124,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,8,8,0,NoGo,NoGo,0.3,0.05,0.2,none,blue,horizontal,space,1.0359609000151977,None,space,0,0.2145285999868065,None,,,,0,0,0,0,0,8,8,8,39.9695848999545,,,,,,,,,,,,,,,,39.953849399928,39.9695848999545,40.66907830000855,40.66907830000855,41.168870399938896,41.15324269991834,41.154258999973536,41.168870399938896,41.46874379995279,41.66831069998443,41.66831069998443,41.88594910001848,space,0,0.2145285999868065,None,41.89070139999967,42.40106029994786,43.4002050999552,43.38446819991805,,,,,,,,,,,,,,,,,000,002,2025-05-03_14h14.50.957,Cued GoNogo Task,2024.2.4,60.022352354468,2025-05-03 14h15.01.125332 +0200,
