instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,99.4948985,,99.4909266,99.4948985,99.4948985,114.56309010000001,1,[15.067544399999974],[15.067551999999978],114.5632056,114.5778315,114.5778315,126.03978130000002,space,11.380056300000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,0,0,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.35568859999995084,None,,,,,0,0,0,0,0,0,0,1,126.06146639999997,,,,,,,,,,,,,,,,126.05846989999998,126.06146639999997,126.75115620000003,126.76773909999997,127.2508148,127.23463040000001,127.2350629,127.2508148,127.45056519999997,127.65036400000002,127.65036400000002,128.0178633,space,1,0.35568859999995084,None,128.0420039,128.53296060000002,129.5321874,129.51613300000002,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,1,1,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.23358899999999494,None,,,,,0,0,0,0,0,1,1,2,129.5321874,,,,,,,,,,,,,,,,129.51632180000001,129.5321874,130.23157400000002,130.23157400000002,130.7311323,130.71509020000002,130.7155077,130.7311323,131.03093969999998,131.23077030000002,131.23077030000002,131.48149139999998,space,1,0.23358899999999494,None,131.48588869999998,131.99703019999998,132.99598600000002,132.98017190000002,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.15957169999995813,None,,,,,0,0,0,0,0,2,2,0,132.99598600000002,,,,,,,,,,,,,,,,132.98044169999997,132.99598600000002,133.695513,133.695513,134.19500019999998,134.17907659999997,134.1795492,134.19500019999998,134.2956666,134.4947939,134.4947939,134.6622489,space,1,0.15957169999995813,None,134.66725580000002,135.17758099999998,136.17675300000002,136.16080449999998,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,3,3,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.34534050000002026,None,,,,,0,0,0,0,0,3,3,4,136.17675300000002,,,,,,,,,,,,,,,,136.16098340000002,136.17675300000002,136.8760769,136.8760769,137.37568929999998,137.35967829999998,137.36011000000002,137.37568929999998,137.8752937,138.07510480000002,138.07510480000002,138.425793,space,1,0.34534050000002026,None,138.43003290000001,138.94110840000002,139.94020490000003,139.9240633,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,4,4,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.23124670000004244,None,,,,,0,0,0,0,0,4,4,3,139.94020490000003,,,,,,,,,,,,,,,,139.924304,139.94020490000003,140.6397101,140.6397101,141.13931709999997,141.1231178,141.12363549999998,141.13931709999997,141.2391985,141.4390906,141.4390906,141.6731787,space,1,0.23124670000004244,None,141.6762829,142.1885297,143.19019559999998,143.17166450000002,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,0,0,0,blocks/CondGo.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.2,0.2,0.05,None,space,0,0.06275189999996655,None,,,,,0,1,1,1,0,0,0,1,143.19019559999998,,,,,,,,,,,,,,,,143.18837660000003,143.19019559999998,143.88702239999998,143.90360249999998,144.38680620000002,144.37057629999998,144.37113829999998,144.38680620000002,144.5864267,144.7862262,144.7862262,144.8541027,space,0,0.06275189999996655,None,144.87671189999998,145.36915879999998,146.3682705,146.35229049999998,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,space,0,0.1387352999999507,None,,,,,0,1,1,1,0,1,1,2,146.3682705,,,,,,,,,,,,,,,,146.352529,146.3682705,147.0676522,147.0676522,147.56720410000003,147.5513229,147.55178840000002,147.56720410000003,147.8672199,148.06711209999997,148.06711209999997,148.21779930000002,space,0,0.1387352999999507,None,148.2181068,148.73307269999998,149.73217119999998,149.71614290000002,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,2,2,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,1,1,1,0,2,2,4,149.73217119999998,,,,,,,,,,,,,,,,149.716344,149.73217119999998,150.43173009999998,150.43173009999998,150.93122110000002,150.91513199999997,150.91561560000002,150.93122110000002,151.43075240000002,151.6306637,151.6306637,152.11406119999998,None,1,,,152.11617030000002,152.6131487,153.61223610000002,153.59619529999998,152.1302526,152.1302526,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,3,3,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,space,0,0.24627490000000307,None,,,,,0,1,1,1,0,3,3,3,153.61223610000002,,,,,,,,,,,,,,,,153.59638310000003,153.62902680000002,154.32844440000002,154.32844440000002,154.8280173,154.8118432,154.8122553,154.8280173,154.9278829,155.1278342,155.1278342,155.3785176,space,0,0.24627490000000307,None,155.38267589999998,155.89390279999998,156.8929576,156.87697830000002,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,4,4,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,4,4,0,156.8929576,,,,,,,,,,,,,,,,156.87718869999998,156.8929576,157.59237230000002,157.59237230000002,158.09208280000001,158.0759028,158.0763544,158.09208280000001,158.19198569999998,158.3917437,158.3917437,158.8752728,None,1,,,158.87697980000002,159.390935,160.39022899999998,160.3743316,158.89133320000002,158.89133320000002,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,1,1,0,blocks/CondNoGo.xlsx,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.37672220000002,160.39022899999998,160.39022899999998,165.5202347,space,5.116673600000013,None,003,001,2025-04-23_16h23.57.827,Cued GoNogo Task,2024.2.4,60.01860576779563,2025-04-23 16h24.10.091124 +0200,
