instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,GoNogo_Stim.stopped,Key_Resp.stopped,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,Trials.Key_Resp.rt,Trials.Key_Resp.duration,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,67.76393300000018,,67.75831400000061,67.76393300000018,67.76393300000018,72.84555520000049,1,[5.080744699999741],[5.080757900000208],72.84574180000072,72.85894439999993,72.85894439999993,74.50892840000051,space,1.6356464999998934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,0,0,0,74.52909470000031,,,,,,,,,,,,,,,,74.52617780000037,74.52909470000031,75.22374450000007,75.24033640000016,75.72311810000065,75.7073390000005,75.70797450000009,75.72311810000065,75.82303910000064,76.02294600000005,76.02294600000005,76.52230560000044,76.52230560000044,76.50686640000004,None,1,76.51387530000011,77.02215990000059,78.0212790000005,78.00562780000018,,,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,1,1,3,78.0212790000005,,,,,,,,,,,,,,,,78.00596720000067,78.0212790000005,78.72079980000035,78.72079980000035,79.22034000000076,79.20487279999998,79.20570970000063,79.22034000000076,79.32023400000071,79.52008190000015,79.52008190000015,80.01947460000065,80.01947460000065,80.00407630000063,None,1,80.00440980000076,80.51913490000061,81.5184121000002,81.50243930000033,,,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
,2,2,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.2,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,2,2,1,81.5184121000002,,,,,,,,,,,,,,,,81.50270810000075,81.5184121000002,82.21796330000052,82.21796330000052,82.7174343000006,82.70185630000014,82.70275579999998,82.7174343000006,82.91741710000042,83.11709169999995,83.11709169999995,83.61672110000018,83.61672110000018,83.60088780000024,None,1,83.60137630000008,84.11622080000052,85.11548149999999,85.09950670000035,,,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
,3,3,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,3,3,2,85.11548149999999,,,,,,,,,,,,,,,,85.09986360000039,85.11548149999999,85.8149153000004,85.8149153000004,86.31443750000017,86.29880649999996,86.29947850000008,86.31443750000017,86.61428780000006,86.81413940000039,86.81413940000039,87.31366650000018,87.31366650000018,87.2981890000001,None,1,87.29882560000078,87.81322679999994,88.81231389999994,88.7963662000002,,,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
,4,4,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,0,0,1,0,4,4,4,88.81231389999994,,,,,,,,,,,,,,,,88.79666309999993,88.81231389999994,89.51189290000002,89.51189290000002,90.01158850000047,89.9958243000001,89.99655940000048,90.01158850000047,90.51099270000032,90.71093490000021,90.71093490000021,91.2103345000005,91.2103345000005,91.19509400000061,None,1,91.19576660000075,91.71011739999994,92.71649410000009,92.69356599999992,,,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
,0,0,0,blocks/CondNoGo.xlsx,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
,0,0,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.34463159999995696,None,,,,,0,1,1,0,0,0,0,1,92.71649410000009,,,,,,,,,,,,,,,,92.71468510000068,92.71649410000009,93.40872410000065,93.42548940000052,93.90835980000065,93.89234620000025,93.89337539999997,93.90835980000065,94.10810310000033,94.30783080000037,94.30783080000037,,,94.65904050000063,space,1,94.66879330000029,95.17388200000005,96.17313770000055,96.1572485000006,0.34463159999995696,None,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
,1,1,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.3272314000005281,None,,,,,0,1,1,0,0,1,1,2,96.17313770000055,,,,,,,,,,,,,,,,96.1575655000006,96.17313770000055,96.87256640000032,96.87256640000032,97.37208620000001,97.35621609999998,97.35692850000032,97.37208620000001,97.67192900000009,97.87171710000075,97.87171710000075,,,98.20604100000037,space,1,98.21230150000065,98.72113990000071,99.72024770000007,99.70440230000077,0.3272314000005281,None,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
,2,2,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.3239668000005622,None,,,,,0,1,1,0,0,2,2,4,99.72024770000007,,,,,,,,,,,,,,,,99.70470220000061,99.72024770000007,100.41971610000019,100.41971610000019,100.91917360000025,100.9035399000004,100.90446470000006,100.91917360000025,101.41880590000073,101.61876130000019,101.61876130000019,,,101.95308340000065,space,1,101.95832880000034,102.46765210000012,103.46701980000034,103.45113730000048,0.3239668000005622,None,,,,,,,,004,001,2025-04-23_17h43.19.438,Cued GoNogo Task,2024.2.4,60.035901469001466,2025-04-23 17h43.26.397286 +0200,
