instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,FixationPhase.stopped,Blank.started,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,GoNogo_Stim.stopped,Key_Resp.stopped,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,Trials.Key_Resp.rt,Trials.Key_Resp.duration,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,0.9380338999908417,,0.9315608999459073,0.9380338999908417,0.9380338999908417,1.2233674998860806,1,[0.28467369999270886],[0.28468280006200075],1.223513999953866,1.2368567999219522,1.2368567999219522,2.723664699937217,space,1.480428299983032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,0,0,0,2.735445899888873,,,,,,,,,,,,,,,,2.730587499914691,2.735445899888873,3.4352339999750257,3.4352339999750257,3.934606899973005,3.9188364999135956,3.9196149999042973,3.934606899973005,4.034587699919939,4.234363399911672,4.234363399911672,4.733780999900773,4.733780999900773,4.718101799953729,None,1,4.724053199985065,5.233526899944991,6.23280649993103,6.21639309998136,,,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,1,1,2,6.23280649993103,,,,,,,,,,,,,,,,6.216557799954899,6.23280649993103,6.932216899935156,6.932216899935156,7.43176389997825,7.415850699995644,7.416548199951649,7.43176389997825,7.731763399904594,7.931348099955358,7.931348099955358,8.430913299904205,8.430913299904205,8.415373399970122,None,1,8.416244499967434,8.93046659999527,9.929794399999082,9.914189499919303,,,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
,2,2,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.2,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,2,2,1,9.929794399999082,,,,,,,,,,,,,,,,9.914572199922986,9.929794399999082,10.629157699993812,10.629157699993812,11.128539699944668,11.112988599925302,11.113687199889682,11.128539699944668,11.32883219991345,11.528432299965061,11.528432299965061,12.028066299972124,12.028066299972124,12.01217949995771,None,1,12.012573799933307,12.527691399911419,13.526803799904883,13.511097599985078,,,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
,3,3,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,3,3,3,13.526803799904883,,,,,,,,,,,,,,,,13.511414899956435,13.526803799904883,14.22607499989681,14.22607499989681,14.725811299984343,14.710072199930437,14.710943699930795,14.725811299984343,14.825736799975857,15.025624199886806,15.025624199886806,15.525144399958663,15.525144399958663,15.509275799966417,None,1,15.509812299977057,16.0248006999027,17.023676799959503,17.007919999887235,,,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
,4,4,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,0,0,1,0,4,4,4,17.023676799959503,,,,,,,,,,,,,,,,17.008155099931173,17.023676799959503,17.72323859995231,17.72323859995231,18.222880099900067,18.206959399976768,18.20760079997126,18.222880099900067,18.722608199925162,18.92229789996054,18.92229789996054,19.42163289990276,19.42163289990276,19.40545779990498,None,1,19.40578699996695,19.904737199889496,20.93665119993966,20.888312899973243,,,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
,0,0,0,blocks/CondNoGo.xlsx,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
,0,0,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.2973632999928668,None,,,,,0,1,1,0,0,0,0,1,20.93665119993966,,,,,,,,,,,,,,,,20.93471399997361,20.93665119993966,21.636740699992515,21.620244099991396,22.11953669996001,22.104365999926813,22.105415999889374,22.11953669996001,22.319386999937706,22.519197599962354,22.519197599962354,,,22.820869399933144,space,1,22.830006799893454,23.33535579999443,24.334596999920905,24.31913719989825,0.2973632999928668,None,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
,1,1,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.3618000999558717,None,,,,,0,1,1,0,0,1,1,4,24.334596999920905,,,,,,,,,,,,,,,,24.31946569995489,24.334596999920905,25.03407099994365,25.03407099994365,25.533588799997233,25.517916599987075,25.518830699962564,25.533588799997233,26.033187499968335,26.23281869990751,26.23281869990751,,,26.600454699946567,space,1,26.605997999897227,27.115620699943975,28.114619699888863,28.09910269989632,0.3618000999558717,None,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.28314930002670735,None,,,,,0,1,1,0,0,2,2,2,28.114619699888863,,,,,,,,,,,,,,,,28.099417299963534,28.114619699888863,28.81395219999831,28.81395219999831,29.313604099908844,29.297927499981597,29.29852579999715,29.313604099908844,29.613673699903302,29.813331399927847,29.813331399927847,,,30.09842169994954,space,1,30.106144699966535,30.61266399989836,31.611926799989305,31.596425399999134,0.28314930002670735,None,,,,,,,,006,001,2025-05-03_19h36.19.812,Cued GoNogo Task,2024.2.4,60.05244977556914,2025-05-03 19h36.26.277590 +0200,
