instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,FixationPhase.stopped,Blank.started,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback.stopped,Feedback_Present.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,0.9707259000279009,,0.9611926999641582,0.9707259000279009,0.9707259000279009,1.2879303999943659,1,[0.31671439995989203],[0.3167191999964416],1.2880225999979302,1.3028638999676332,1.3028638999676332,2.5555643000407144,space,1.2409500000067055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
,0,0,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.34171710000373423,None,,,,,0,0,0,0,0,0,0,1,2.56859749997966,,,,,,,,,,,,,,,,2.5625343000283465,2.56859749997966,3.267878200043924,3.267878200043924,3.767294600023888,3.7517015000339597,3.752078099991195,3.767294600023888,3.9673572999890894,4.167350300005637,4.167350300005637,4.518092400045134,space,1,0.34171710000373423,None,4.527514000074007,5.033339000074193,6.032307200017385,,,,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
,1,1,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.14520280004944652,None,,,,,0,0,0,0,0,1,1,4,6.0488043000223115,,,,,,,,,,,,,,,,6.032673700014129,6.0488043000223115,6.748419600073248,6.731714699999429,7.231250900076702,7.215672399965115,7.216127200052142,7.231250900076702,7.730908800032921,7.930772199993953,7.930772199993953,8.081650400068611,space,1,0.14520280004944652,None,8.085261399974115,8.59695300005842,9.580009100027382,9.596015300019644,,,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.3024518999736756,None,,,,,0,0,0,0,0,2,2,0,9.596015300019644,,,,,,,,,,,,,,,,9.580183500074781,9.596015300019644,10.295620299992152,10.295620299992152,10.794802400050685,10.778956499998458,10.779325500014238,10.794802400050685,10.894811899983324,11.094838200020604,11.094838200020604,11.412051000050269,space,1,0.3024518999736756,None,11.416402700007893,11.927529699984007,12.910423399996944,12.926543700043112,,,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
,3,3,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.1662477001082152,None,,,,,0,0,0,0,0,3,3,3,12.926543700043112,,,,,,,,,,,,,,,,12.91075310006272,12.926543700043112,13.626163500011899,13.626163500011899,14.125720800017007,14.109695099992678,14.110256599960849,14.125720800017007,14.22532389999833,14.42525349999778,14.42525349999778,14.593545200070366,space,1,0.1662477001082152,None,14.63880119996611,15.10806770005729,16.091537400032394,16.107308899983764,,,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
,4,4,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.24880259996280074,None,,,,,0,0,0,0,0,4,4,2,16.107308899983764,,,,,,,,,,,,,,,,16.09172450006008,16.107308899983764,16.806709600030445,16.806709600030445,17.30619170004502,17.290024299989454,17.29041130002588,17.30619170004502,17.606109200045466,17.806135799968615,17.806135799968615,18.05714970000554,space,1,0.24880259996280074,None,18.0616136000026,18.57180649996735,19.55501979996916,19.570982899982482,,,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
,0,0,0,blocks/CondGo.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,0,0,2,19.570982899982482,,,,,,,,,,,,,,,,19.560363200027496,19.570982899982482,20.270576399983838,20.270576399983838,20.769990700064227,20.75383329996839,20.754222300020047,20.769990700064227,21.069820399978198,21.269620900042355,21.269620900042355,21.753211300005205,None,1,,,21.754957400029525,22.25216819997877,23.235554300015792,23.251568900072016,21.76961570000276,21.76961570000276,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,space,0,0.18521939998026937,None,,,,,0,1,1,1,0,1,1,3,23.251568900072016,,,,,,,,,,,,,,,,23.235704399994574,23.2680886000162,23.967481500003487,23.967481500003487,24.46718380006496,24.450831099995412,24.451269300072454,24.46718380006496,24.566911300062202,24.766846099984832,24.766846099984832,24.967572599998675,space,0,0.18521939998026937,None,24.97575380001217,25.48301680001896,26.466236700071022,26.482043000054546,,,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
,2,2,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.2,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,2,2,1,26.482043000054546,,,,,,,,,,,,,,,,26.466604399960488,26.482043000054546,27.181809699977748,27.181809699977748,27.68104429997038,27.665034800069407,27.66552150005009,27.68104429997038,27.881666300003417,28.081152600003406,28.081152600003406,28.564149599988014,None,1,,,28.56584300007671,29.06387089996133,30.062866699998267,30.07936089998111,28.58049339998979,28.58049339998979,,,,,,,,011,001,2025-05-03_19h46.09.351,Cued GoNogo Task,2024.2.4,59.91026637534758,2025-05-03 19h46.14.928127 +0200,
