instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,FixationPhase.stopped,Blank.started,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,3.5867389999330044,,3.5786642999155447,3.5867389999330044,3.5867389999330044,3.9042311999946833,1,[0.3168539000907913],[0.3168594000162557],3.9043517999816686,3.9184076000237837,3.9184076000237837,4.954344499972649,space,1.0276557999895886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
,0,0,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.3951239000307396,None,,,,,0,0,0,0,0,0,0,1,4.96767069993075,,,,,,,,,,,,,,,,4.962265699985437,4.96767069993075,5.667394599993713,5.667394599993713,6.166834999923594,6.150864599971101,6.151238500024192,6.166834999923594,6.3665016000159085,6.566433100029826,6.566433100029826,6.967106899945065,space,1,0.3951239000307396,None,6.97643879998941,7.482124899979681,8.48125940002501,8.465414599981159,,,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
,1,1,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.29436649999115616,None,,,,,0,0,0,0,0,1,1,3,8.48125940002501,,,,,,,,,,,,,,,,8.465678000007756,8.48125940002501,9.180980099947192,9.180980099947192,9.680702799931169,9.664396399981342,9.664781600004062,9.680702799931169,9.78027440002188,9.980252099921927,9.980252099921927,10.280932600027882,space,1,0.29436649999115616,None,10.284918799996376,10.796093299984932,11.795205599977635,11.779267699923366,,,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.27190329995937645,None,,,,,0,0,0,0,0,2,2,0,11.795205599977635,,,,,,,,,,,,,,,,11.779493700014427,11.795205599977635,12.49464489996899,12.49464489996899,12.994225000031292,12.978037799941376,12.978430000017397,12.994225000031292,13.094209100003354,13.294521700008772,13.294521700008772,13.57827079994604,space,1,0.27190329995937645,None,13.583267899928614,14.09334779996425,15.092848800006323,15.07654029992409,,,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
,3,3,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.17932049999944866,None,,,,,0,0,0,0,0,3,3,2,15.092848800006323,,,,,,,,,,,,,,,,15.076691800029948,15.092848800006323,15.792220099945553,15.792220099945553,16.29186709993519,16.275670900009573,16.276020999997854,16.29186709993519,16.59120709996205,16.79098549997434,16.79098549997434,16.975330299930647,space,1,0.17932049999944866,None,16.9778705999488,17.490804699948058,18.48973649996333,18.473895899951458,,,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
,4,4,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.15805579989682883,None,,,,,0,0,0,0,0,4,4,4,18.48973649996333,,,,,,,,,,,,,,,,18.47405900002923,18.48973649996333,19.189288299996406,19.189288299996406,19.68891549995169,19.672942399978638,19.673486199928448,19.68891549995169,20.188471999950707,20.388197600026615,20.388197600026615,20.55593539995607,space,1,0.15805579989682883,None,20.56046680000145,21.071177699952386,22.07040089997463,22.05406120000407,,,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
,0,0,0,blocks/CondGo.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,space,0,0.24707010004203767,None,,,,,0,1,1,1,0,0,0,3,22.07040089997463,,,,,,,,,,,,,,,,22.059377699973993,22.07040089997463,22.769764799973927,22.769764799973927,23.26922919997014,23.253181100008078,23.253807400004007,23.26922919997014,23.369085200014524,23.569072099984623,23.569072099984623,23.819793700007722,space,0,0.24707010004203767,None,23.828044099966064,24.335071399924345,25.33418659993913,25.318464700016193,,,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,1,1,2,25.33418659993913,,,,,,,,,,,,,,,,25.318629099987447,25.33418659993913,26.033645799965598,26.033645799965598,26.533352299942635,26.517120699980296,26.51755809993483,26.533352299942635,26.832987900008447,27.032862599939108,27.032862599939108,27.516398699954152,None,1,,,27.51779109996278,28.0321853000205,29.03109740000218,29.015539999934845,27.532318599987775,27.532318599987775,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
,2,2,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,1,1,1,0,2,2,4,29.03109740000218,,,,,,,,,,,,,,,,29.01575169991702,29.03109740000218,29.730496099917218,29.730496099917218,30.23033699998632,30.214249899960123,30.214664099970832,30.23033699998632,30.729832599987276,30.92973859992344,30.92973859992344,31.413134699920192,None,1,,,31.413502299925312,31.93046179995872,,32.928475499968044,31.429062800016254,31.429062800016254,,,,,,,,012,001,2025-05-03_19h50.57.451,Cued GoNogo Task,2024.2.4,60.06965678692707,2025-05-03 19h53.35.247902 +0200,
